triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
183,5,0,3,19,1,11,0,3,5,30,33,3,3,30,33,1,1,63,6,171,143088,208256,216,2,2,17
184,5,0,4,19,1,12,0,4,5,30,34,4,4,30,34,1,1,63,6,173,147888,217216,216,2,2,19
185,5,0,5,19,1,19,0,5,5,30,35,5,5,30,35,1,1,59,5,146,266928,363008,216,1,1,20
186,5,1,0,19,4,1,0,1,5,31,30,6,6,30,31,1,1,63,6,167,151920,230656,216,3,3,10
187,5,1,1,19,4,4,1,1,5,31,31,7,7,31,31,1,1,61,5,147,147840,231424,216,2,2,25
188,5,1,2,19,4,7,1,2,5,31,32,8,8,31,32,1,1,61,5,169,192384,282112,216,2,2,29
189,5,1,3,19,4,11,1,3,5,31,33,9,9,31,33,1,1,63,6,175,139008,209024,216,2,2,32
190,5,1,4,19,4,12,1,4,5,31,34,10,10,31,34,1,1,63,6,177,143808,217984,216,2,2,34
191,5,1,5,19,4,19,1,5,5,31,35,11,11,31,35,1,1,61,5,147,262848,363776,216,1,1,35
192,5,2,0,19,7,1,0,2,5,32,30,12,12,30,32,1,1,59,5,168,196464,281344,216,3,3,14
193,5,2,1,19,7,4,1,2,5,32,31,13,13,31,32,1,1,61,5,169,192384,282112,216,3,3,29
194,5,2,2,19,7,7,2,2,5,32,32,14,14,32,32,1,1,57,4,148,236928,332800,216,2,2,39
195,5,2,3,19,7,11,2,3,5,32,33,15,15,32,33,1,1,63,6,183,183552,259712,216,2,2,42
196,5,2,4,19,7,12,2,4,5,32,34,16,16,32,34,1,1,63,6,185,188352,268672,216,2,2,44
197,5,2,5,19,7,19,2,5,5,32,35,17,17,32,35,1,1,57,4,148,307392,414464,216,1,1,45
198,5,3,0,19,11,1,0,3,5,33,30,18,18,30,33,1,1,63,6,171,143088,208256,216,3,3,17
199,5,3,1,19,11,4,1,3,5,33,31,19,19,31,33,1,1,63,6,175,139008,209024,216,3,3,32
200,5,3,2,19,11,7,2,3,5,33,32,20,20,32,33,1,1,63,6,183,183552,259712,216,3,3,42
201,5,3,3,19,11,11,3,3,5,33,33,21,21,33,33,1,1,62,5,132,130176,186624,216,2,2,48
202,5,3,4,19,11,12,3,4,5,33,34,22,22,33,34,1,1,62,5,146,134976,195584,216,2,2,50
203,5,3,5,19,11,19,3,5,5,33,35,23,23,33,35,1,1,62,5,132,254016,341376,216,1,1,51
204,5,4,0,19,12,1,0,4,5,34,30,24,24,30,34,1,1,63,6,173,147888,217216,216,3,3,19
205,5,4,1,19,12,4,1,4,5,34,31,25,25,31,34,1,1,63,6,177,143808,217984,216,3,3,34
206,5,4,2,19,12,7,2,4,5,34,32,26,26,32,34,1,1,63,6,185,188352,268672,216,3,3,44
207,5,4,3,19,12,11,3,4,5,34,33,27,27,33,34,1,1,62,5,146,134976,195584,216,3,3,50
208,5,4,4,19,12,12,4,4,5,34,34,28,28,34,34,1,1,62,5,134,139776,204544,216,2,2,53
209,5,4,5,19,12,19,4,5,5,34,35,29,29,34,35,1,1,62,5,134,258816,350336,216,1,1,54
210,5,5,0,19,19,1,0,5,5,35,30,30,30,30,35,1,1,59,5,146,266928,363008,216,2,2,20
211,5,5,1,19,19,4,1,5,5,35,31,31,31,31,35,1,1,61,5,147,262848,363776,216,2,2,35
212,5,5,2,19,19,7,2,5,5,35,32,32,32,32,35,1,1,57,4,148,307392,414464,216,2,2,45
213,5,5,3,19,19,11,3,5,5,35,33,33,33,33,35,1,1,62,5,132,254016,341376,216,2,2,51
214,5,5,4,19,19,12,4,5,5,35,34,34,34,34,35,1,1,62,5,134,258816,350336,216,2,2,54
215,5,5,5,19,19,19,5,5,5,35,35,35,35,35,35,1,1,56,3,97,377856,496128,216,0,0,55
