transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
379,116,118,3,1,0,0,0,1,0,0,512032771,125000000000,83333333334,2048131081,3072196621
380,116,122,3,1,0,0,0,1,0,0,512032771,125000000000,187500000000,2048131081,1365420720
381,116,128,3,1,0,0,0,1,0,0,512032771,125000000000,120000000000,2048131081,2133469876
382,116,131,3,1,0,0,0,1,0,0,512032771,125000000000,96774193549,2048131081,2645502646
383,116,149,3,1,0,1,0,1,0,0,512032771,125000000000,157894736842,2048131081,1621437105
384,116,185,3,1,0,0,0,1,0,0,512032771,125000000000,75000000000,2048131081,3413551801
385,117,118,3,1,0,0,0,1,0,0,512032771,1000000000000,83333333334,256016385,3072196621
386,118,119,3,1,0,0,0,1,0,0,512032771,83333333334,1000000000000,3072196621,256016385
387,118,120,3,1,0,1,0,1,0,0,512032771,83333333333,1000000000000,3072196621,256016385
388,118,123,3,1,0,1,0,1,0,0,512032771,83333333333,333333333333,3072196621,768049155
389,118,129,3,1,0,0,0,1,0,0,512032771,83333333333,200000000000,3072196621,1280081925
390,118,134,3,1,0,0,0,1,0,0,512032771,83333333333,142857142858,3072196621,1792114696
391,118,137,3,1,0,0,0,1,0,0,512032771,83333333333,500000000000,3072196621,512032770
392,118,141,3,1,0,0,0,1,0,0,512032771,83333333333,333333333334,3072196621,768049155
393,118,153,3,1,0,1,0,1,0,0,512032771,83333333333,166666666667,3072196621,1536098310
394,118,192,3,1,0,0,0,1,0,0,512032771,83333333333,125000000000,3072196621,2048131081
395,121,124,3,1,0,0,0,1,0,0,512032771,428571428572,200000000000,597371565,1280081925
396,121,195,3,1,0,0,0,1,0,0,512032771,428571428571,142857142858,597371565,1792114696
397,121,701,1,0,1,0,0,1,0,0,170677590,142857142857,1000000000000,597371565,85338795
398,122,123,3,1,0,1,0,1,0,0,512032771,187500000000,333333333333,1365420720,768049155
399,122,139,3,1,0,0,0,1,0,0,512032771,187500000000,300000000000,1365420720,853387950
400,122,204,3,1,0,0,0,1,0,0,512032771,187500000000,47619047620,1365420720,5376344086
401,122,702,1,0,1,0,0,1,0,0,170677590,62500000000,1000000000000,1365420720,85338795
402,124,125,3,1,0,0,0,1,0,0,512032771,200000000000,333333333334,1280081925,768049155
403,124,130,3,1,0,0,0,1,0,0,512032771,200000000000,157894736842,1280081925,1621437105
404,124,142,3,1,0,0,0,1,0,0,512032771,200000000000,200000000000,1280081925,1280081925
405,124,211,3,1,0,0,0,1,0,0,512032771,200000000000,120000000000,1280081925,2133469876
406,125,143,3,1,0,0,0,1,0,0,512032771,333333333333,142857142858,768049155,1792114696
407,125,212,3,1,0,0,0,1,0,0,512032771,333333333333,96774193549,768049155,2645502646
408,126,128,3,1,0,0,0,1,0,0,512032771,166666666667,120000000000,1536098310,2133469876
409,126,131,3,1,0,0,0,1,0,0,512032771,166666666667,96774193549,1536098310,2645502646
410,126,134,3,1,0,0,0,1,0,0,512032771,166666666667,142857142857,1536098310,1792114696
411,126,138,3,1,0,0,0,1,0,0,512032771,166666666666,187500000000,1536098310,1365420720
412,126,216,3,1,0,0,0,1,0,0,512032771,166666666666,88235294118,1536098310,2901519031
413,127,128,3,1,0,0,0,1,0,0,512032771,142857142857,120000000000,1792114696,2133469876
414,127,130,3,1,0,0,0,1,0,0,512032771,142857142857,157894736842,1792114696,1621437105
415,127,133,3,1,0,0,0,1,0,0,512032771,142857142857,250000000000,1792114696,1024065540
416,127,146,3,1,0,0,0,1,0,0,512032771,142857142857,250000000000,1792114696,1024065540
417,127,147,3,1,0,1,0,1,0,0,512032771,142857142857,85714285715,1792114696,2986857826
418,127,218,3,1,0,0,0,1,0,0,512032771,142857142857,90909090910,1792114696,2816180236
419,128,129,3,1,0,0,0,1,0,0,512032771,120000000000,200000000000,2133469876,1280081925
420,128,131,3,1,0,0,0,1,0,0,512032771,120000000000,96774193549,2133469876,2645502646
421,128,134,3,1,0,0,0,1,0,0,512032771,120000000000,142857142857,2133469876,1792114696
422,128,149,3,1,0,1,0,1,0,0,512032771,120000000000,157894736842,2133469876,1621437105
423,128,156,1,0,1,0,0,1,0,0,170677590,40000000000,333333333334,2133469876,256016385
424,128,220,3,1,0,0,0,1,0,0,512032771,120000000000,69767441861,2133469876,3669568186
425,129,134,3,1,0,0,0,1,0,0,512032771,200000000000,142857142857,1280081925,1792114696
426,129,153,3,1,0,1,0,1,0,0,512032771,200000000000,166666666667,1280081925,1536098310
427,129,224,3,1,0,0,0,1,0,0,512032771,200000000000,142857142858,1280081925,1792114696
428,130,131,3,1,0,0,0,1,0,0,512032771,157894736842,96774193549,1621437105,2645502646
429,130,147,3,1,0,1,0,1,0,0,512032771,157894736842,85714285714,1621437105,2986857826
430,130,157,1,0,1,1,0,1,0,0,170677590,52631578948,333333333334,1621437105,256016385
431,130,226,3,1,0,0,0,1,0,0,512032771,157894736842,100000000000,1621437105,2560163851
