product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
720,36,52,941,978,890,13,1,1
721,37,34,943,938,890,13,1,1
722,45,48,962,969,890,13,1,1
723,44,48,961,969,890,13,1,1
724,29,51,928,977,890,13,1,1
725,43,48,960,969,890,13,1,1
726,36,34,941,938,890,13,1,1
727,37,41,943,955,890,13,1,1
728,37,46,943,964,890,13,1,1
729,49,39,973,951,890,13,1,1
730,30,48,930,969,890,13,1,1
731,43,39,960,951,890,13,1,1
732,36,47,941,965,890,13,1,1
733,36,33,941,935,890,13,1,1
734,36,46,941,964,890,13,1,1
735,50,38,975,945,890,13,1,1
736,14,14,893,893,893,14,1,1
