addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
962,24967,60534,240572,1
963,23675,57876,234280,1
964,21458,55058,230046,1
965,19292,52224,225488,1
966,18003,49566,219360,1
967,15969,46792,214722,1
968,14634,44137,208955,1
969,13292,41479,203215,1
970,12023,38828,196814,1
971,9893,36150,192854,1
972,8720,33513,185887,1
973,7421,30926,180284,1
974,6717,28367,170017,1
975,6241,25800,154904,1
976,5967,23252,128342,1
977,5480,20675,113223,1
978,5188,18101,86615,1
979,4468,15509,76275,1
980,3331,12917,69379,1
981,2193,10325,62485,1
982,1477,7736,52144,1
983,768,5155,41813,1
984,484,2580,15160,1
